INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
福建洋口福音堂,TN_0326,Fujian Yangkou Church ,福建洋口福音堂,,fújiàn yángkǒu fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_1980,,
廣州中華堂,TN_0327,Guangzhou Zhonghua Church ,廣州中華堂,,guǎngzhōu zhōnghuátáng,,,Guangzhou China Church ,Ecclesial,Church,,,Protestant,,,F_62,,
廣州遠東宣教會辦公室,TN_0328,Office of Oriental Missionary Society (Guangzhou) ,廣州遠東宣教會辦公室,,guǎngzhōu yuǎndōng xuānjiào huìbàn gōngshì,C_000203,Oriental Missionary Society,,Ecclesial,,,,Protestant,Holiness,,Y_2041,,
廣州沙面基督堂,TN_0329,Guangzhou Shamian Jidu Church ,廣州沙面基督堂,,guǎngzhōu shāmiàn jīdū táng,,,Guangzhou Shamian Christ Church,Ecclesial,Church,,,Protestant,,,Y_2044,,
廣州崇真堂,TN_0330,Guangzhou Chongzhen Church ,廣州崇真堂,,guǎngzhōu chóngzhēntáng,,,,Ecclesial,Church,,,Protestant,,,Y_2044,,
廣州漁沙坦福音堂,TN_0331,Guangzhou Yushatan Church,廣州漁沙坦福音堂,,guǎngzhōu yú shātǎn fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_2047,,
廣州河南金巴侖長老會堂,TN_0332,Henan Cumberland Presbyterian Mission Church (Guangzhou) ,廣州河南金巴侖長老會堂,,guǎngzhōu hénán jīn bā lún cháng lǎo huì táng,C_000090,Cumberland Presbyterian Mission,,Ecclesial,Church,,,Protestant,Presbyterian,,Y_2041,,
華南金巴侖長老會石灣堂,TN_0333,Southern China Cumberland Presbyterian Mission-Shiwan Church,華南金巴侖長老會石灣堂,,huánánjīn bā lún cháng lǎo huì shí wān táng,C_000090,Cumberland Presbyterian Mission,,Ecclesial,Church,,,Protestant,Presbyterian,,Y_2145,,
廣州金巴侖長老會辦公室,TN_0334,Office of Guangzhou Cumberland Presbyterian Mission ,廣州金巴侖長老會辦公室,,guǎngzhōujīn bā lún cháng lǎo huì bàn gōngshì,C_000090,Cumberland Presbyterian Mission,,Ecclesial,,,,Protestant,Presbyterian,,Y_2044,,
廣州華南遠東宣教會大同堂,TN_0335,Southern China Oriental Missionary Society-Datong Church (Guangzhou),廣州華南遠東宣教會大同堂,,guǎngzhōuhuánán yuǎndōng xuānjiào huìdà tóngtáng,C_000203,Oriental Missionary Society,,Ecclesial,Church,,,Protestant,Holiness,,Y_2044,,
廣東肇慶遠東宣教會福音堂,TN_0336,Zhaoqing Oriental Missionary Society Church (Guangdong) ,廣東肇慶遠東宣教會福音堂,,guǎngdōngzhàoqìng yuǎndōng xuānjiào huì fúyīn táng,C_000203,Oriental Missionary Society,,Ecclesial,Church,,,Protestant,Holiness,,F_263,,
南海佛山遠東宣教會福音堂,TN_0337,Foshan Oriental Missionary Society Church (Nanhai)  ,南海佛山遠東宣教會福音堂,,nánhǎi fóshān yuǎndōng xuānjiào huì fúyīn táng,C_000203,Oriental Missionary Society,,Ecclesial,Church,,,Protestant,Holiness,,Y_2145,,
